% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 16 2018, 17:13"
% Table,Accumulated Probe Table 2 - 
% period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
3600,123.73150949515923,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,131.96064420640735,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,148.41891362890362,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,164.8771830513999,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,181.33545247389617,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,214.2519913188887,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,243.876876279382,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,273.5017612398753,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,303.12664620036855,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,362.37641612135513,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,421.6261860423417,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,480.8759559633283,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,540.1257258843149,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,599.3754958053014,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
