Time,Specie,IndoorConcentration,SubslabConcentration,AttenuationSubslab,logIndoorConcentration,logAttenuationSubslab,IndoorOutdoorPressure,Season
2011-08-17 23:46:39,Trichloroethene,,14.58,,,,0.31,Summer
2011-08-18 02:08:06,Tetrachloroethene,0.78,77.05,0.010123296560674887,-0.10790539730951959,-1.9946780403639577,0.31,Summer
2011-08-18 02:08:06,Trichloroethene,,13.48,,,,0.31,Summer
2011-08-18 02:08:06,Chloroform,0.22,21.52,0.010223048327137546,-0.6575773191777937,-1.9904195861721452,0.31,Summer
2011-08-18 04:29:34,Trichloroethene,,13.33,,,,0.31,Summer
2011-08-18 04:29:34,Tetrachloroethene,0.82,77.57,0.010571097073610933,-0.08618614761628333,-1.9758799390604687,0.31,Summer
2011-08-18 04:29:34,Chloroform,0.25,21.19,0.011798017932987258,-0.6020599913279624,-1.928190948038757,0.31,Summer
2011-08-18 06:51:02,Chloroform,0.29,21.24,0.013653483992467044,-0.5376020021010439,-1.8647565145104754,0.31,Summer
2011-08-18 06:51:02,Tetrachloroethene,0.9,78.24,0.011503067484662578,-0.045757490560675115,-1.93918633234022,0.31,Summer
2011-08-18 06:51:02,Trichloroethene,,13.03,,,,0.31,Summer
2011-08-18 09:12:30,Tetrachloroethene,0.86,78.47,0.010959602395820058,-0.06550154875643228,-1.9602052013656623,0.31,Summer
2011-08-18 09:12:30,Trichloroethene,,13.44,,,,0.31,Summer
2011-08-18 09:12:30,Chloroform,0.28,21.38,0.013096351730589338,-0.5528419686577808,-1.88284966953054,0.31,Summer
2011-08-18 11:33:58,Chloroform,0.28,27.04,0.010355029585798817,-0.5528419686577808,-1.984848655927379,0.31,Summer
2011-08-18 11:33:58,Trichloroethene,,13.61,,,,0.31,Summer
2011-08-18 11:33:58,Tetrachloroethene,0.94,78.77,0.0119334772121366,-0.026872146400301365,-1.9232329918696178,0.31,Summer
2011-08-18 13:55:25,Chloroform,0.26,9.4,0.027659574468085105,-0.585026652029182,-1.5581545056288808,0.31,Summer
2011-08-18 13:55:25,Tetrachloroethene,0.94,42.33,0.022206472950626034,-0.026872146400301365,-1.6535204148743117,0.31,Summer
2011-08-18 13:55:25,Trichloroethene,,,,,,0.31,Summer
2011-08-18 16:16:53,Trichloroethene,,14.87,,,,-2.75,Summer
2011-08-18 16:16:53,Tetrachloroethene,0.86,77.56,0.0110881897885508,-0.06550154875643228,-1.9551393491631,-2.75,Summer
2011-08-18 16:16:53,Chloroform,0.21,21.14,0.009933774834437085,-0.6777807052660807,-2.0028856882374884,-2.75,Summer
2011-08-18 18:38:21,Chloroform,0.2,20.99,0.00952834683182468,-0.6989700043360187,-2.0209824429184193,-4.66,Summer
2011-08-18 18:38:21,Tetrachloroethene,1.2,74.95,0.01601067378252168,0.07918124604762482,-1.7955903911366735,-4.66,Summer
2011-08-18 18:38:21,Trichloroethene,,15.94,,,,-4.66,Summer
2011-08-18 20:59:52,Trichloroethene,0.12,13.36,0.008982035928143712,-0.9208187539523752,-2.046625212091902,1.66,Summer
2011-08-18 20:59:52,Tetrachloroethene,0.98,76.24,0.012854144805876181,-0.00877392430750515,-1.890956811937775,1.66,Summer
2011-08-18 20:59:52,Chloroform,0.18,21.33,0.008438818565400845,-0.744727494896694,-2.0737183503461227,1.66,Summer
2011-08-18 23:21:19,Trichloroethene,,12.73,,,,1.45,Summer
2011-08-18 23:21:19,Tetrachloroethene,0.84,76.32,0.011006289308176102,-0.07572071393811836,-1.958359075634157,1.45,Summer
2011-08-18 23:21:19,Chloroform,0.18,21.66,0.008310249307479225,-0.744727494896694,-2.0803859471859956,1.45,Summer
2011-08-19 01:42:47,Chloroform,0.18,21.63,0.008321775312066574,-0.744727494896694,-2.0797840143357855,0.72,Summer
2011-08-19 01:42:47,Tetrachloroethene,0.78,76.38,0.01021209740769835,-0.10790539730951959,-1.9908850513468186,0.72,Summer
2011-08-19 01:42:47,Trichloroethene,,10.75,,,,0.72,Summer
2011-08-19 04:04:14,Trichloroethene,,10.82,,,,0.23,Summer
2011-08-19 04:04:14,Chloroform,0.17,21.37,0.007955077211043519,-0.7695510786217261,-2.0993556007857954,0.23,Summer
2011-08-19 04:04:14,Tetrachloroethene,0.75,76.82,0.009763082530590992,-0.12493873660829993,-2.010413039437457,0.23,Summer
2011-08-19 06:25:42,Chloroform,0.2,21.06,0.009496676163342831,-0.6989700043360187,-2.0224283711854865,0.41,Summer
2011-08-19 06:25:42,Trichloroethene,,10.98,,,,0.41,Summer
2011-08-19 06:25:42,Tetrachloroethene,0.82,77.8,0.010539845758354755,-0.08618614761628333,-1.9771657446059723,0.41,Summer
2011-08-19 08:47:09,Tetrachloroethene,0.76,78.41,0.009692641244739193,-0.11918640771920865,-2.013557861575446,0.23,Summer
2011-08-19 08:47:09,Chloroform,0.2,20.77,0.009629272989889264,-0.6989700043360187,-2.016406500871118,0.23,Summer
2011-08-19 08:47:09,Trichloroethene,,11.09,,,,0.23,Summer
2011-08-19 11:08:37,Chloroform,0.21,20.48,0.01025390625,-0.6777807052660807,-1.9891106575698738,0.19,Summer
2011-08-19 11:08:37,Tetrachloroethene,0.84,78.89,0.01064773735581189,-0.07572071393811836,-1.9727426699984818,0.19,Summer
2011-08-19 11:08:37,Trichloroethene,,11.28,,,,0.19,Summer
