% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - gravel sub-base - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,1,2,8,-18441.313010251077,4.3079472933208666E-8,0.1995999999999968,0.023709839905172378
15,1,2,1,2,9,-12428.362879771637,4.430299270285031E-8,0.1995999999999968,0.025558213044455946
15,1,2,1,2,10,-6395.038858209497,4.2211651395929126E-8,0.1995999999999968,0.022514736979751933
15,1,2,1,2,11,-8220.554281787156,4.516127222414953E-8,0.1995999999999968,0.027099903270936917
15,1,2,1,2,12,-11903.072243895142,4.4049587335331355E-8,0.1995999999999968,0.02517924466024447
15,1,2,1,3,1,-7.39661330730702,6.634934716753276E-8,0.29910000000000486,0.03365953866390854
15,1,2,1,3,2,-134.1185488812202,6.50136409165459E-8,0.29910000000000486,0.03192377423880701
15,1,2,1,3,3,-1222.3702067570705,6.415032952621292E-8,0.29910000000000486,0.03101776557011564
15,1,2,1,3,4,-8859.43039142702,6.361777322469696E-8,0.29910000000000486,0.03044125772359822
15,1,2,1,3,5,-6731.589554243288,6.245454109610237E-8,0.29910000000000486,0.028838054157859005
15,1,2,1,3,6,-53706.82195885233,5.8668319448870094E-8,0.29910000000000486,0.025072248237847813
15,1,2,1,3,7,-12719.465733071485,6.282532205521744E-8,0.29910000000000486,0.029368760609334757
15,1,2,1,3,8,-27546.914971523733,6.083400559135068E-8,0.29910000000000486,0.027197654932024303
15,1,2,1,3,9,-18578.225402418702,6.301807721763502E-8,0.29910000000000486,0.029711805643576856
15,1,2,1,3,10,-9547.064483633345,5.928420988169101E-8,0.29910000000000486,0.02558585196463051
15,1,2,1,3,11,-12293.40526812319,6.454910950169939E-8,0.29910000000000486,0.031839199022619544
15,1,2,1,3,12,-17790.473358641586,6.256562669711428E-8,0.29910000000000486,0.029196756353687504
15,1,2,1.5,1,1,-6.010176764337195,2.163536838669771E-8,0.0998999999999971,0.01305326944359939
15,1,2,1.5,1,2,-137.78308950648668,2.1875398378751954E-8,0.0998999999999971,0.014116613594879366
15,1,2,1.5,1,3,-1459.9046563975735,2.1801145390533614E-8,0.0998999999999971,0.014176972061048015
15,1,2,1.5,1,4,-11702.929693859125,2.1722433962250227E-8,0.0998999999999971,0.014118477778942583
15,1,2,1.5,1,5,-11989.669618438887,2.1260032731715688E-8,0.0998999999999971,0.013324868397527705
15,1,2,1.5,1,6,-247401.11217540584,2.0429058584115538E-8,0.0998999999999971,0.01209666808426846
15,1,2,1.5,1,7,-20385.774002632683,2.143540834683394E-8,0.0998999999999971,0.013635497252430975
15,1,2,1.5,1,8,-71471.35959160543,2.0938503448369244E-8,0.0998999999999971,0.012886136032142937
15,1,2,1.5,1,9,-27985.766394700026,2.1566457693938227E-8,0.0998999999999971,0.013887902977027505
15,1,2,1.5,1,10,-38085.656094075675,2.050494334398701E-8,0.0998999999999971,0.012194695352162752
15,1,2,1.5,1,11,-13151.96748627621,2.2071616339791572E-8,0.0998999999999971,0.014721077446362566
15,1,2,1.5,1,12,-29622.261880806564,2.1460304109499677E-8,0.0998999999999971,0.013734867658058649
15,1,2,1.5,2,1,-11.94956884839532,3.991525711871654E-8,0.19959999999999675,0.016651813592166796
15,1,2,1.5,2,2,-273.97221156836474,4.050055906458101E-8,0.19959999999999675,0.018604604500963105
15,1,2,1.5,2,3,-2901.7218596016814,4.0282118042391624E-8,0.19959999999999675,0.018754267325852603
15,1,2,1.5,2,4,-23253.41614205421,4.0055457884583844E-8,0.19959999999999675,0.018673228439082677
15,1,2,1.5,2,5,-23790.084108241168,3.873331197843602E-8,0.19959999999999675,0.017313650485852528
15,1,2,1.5,2,6,-489234.650690882,3.635412730431337E-8,0.19959999999999675,0.015253532053773394
15,1,2,1.5,2,7,-40471.18856321926,3.923443987229515E-8,0.19959999999999675,0.01784825172985115
15,1,2,1.5,2,8,-141629.6063145045,3.7811720099973226E-8,0.19959999999999675,0.016588683878783036
15,1,2,1.5,2,9,-55578.72772102466,3.960865993362625E-8,0.19959999999999675,0.01828748224013705
15,1,2,1.5,2,10,-75343.03737211617,3.657184392720439E-8,0.19959999999999675,0.015414534869099349
15,1,2,1.5,2,11,-26156.96614055518,4.1054403415353456E-8,0.19959999999999675,0.019706006128116214
15,1,2,1.5,2,12,-58806.9713897582,3.9304509979737426E-8,0.19959999999999675,0.018032456603881048
15,1,2,1.5,3,1,-17.828357723135657,5.5180749412884144E-8,0.29910000000000364,0.017225599317654883
15,1,2,1.5,3,2,-408.6856187272283,5.614590805203119E-8,0.29910000000000364,0.019963671720290677
15,1,2,1.5,3,3,-4326.742140139156,5.57399448565871E-8,0.29910000000000364,0.020215643523442847
15,1,2,1.5,3,4,-34662.342910188236,5.5325351667777426E-8,0.29910000000000364,0.020131471398296224
15,1,2,1.5,3,5,-35415.10987331935,5.292546428591624E-8,0.29910000000000364,0.01833925816835189
15,1,2,1.5,3,6,-725903.3298166061,4.859293552219147E-8,0.29910000000000364,0.015665370440627966
15,1,2,1.5,3,7,-60278.08144793458,5.3834717070057094E-8,0.29910000000000364,0.019047240390743053
15,1,2,1.5,3,8,-210570.96011892162,5.124583518784938E-8,0.29910000000000364,0.01741221248812508
15,1,2,1.5,3,9,-82807.20049477798,5.451278297801652E-8,0.29910000000000364,0.019634132043089874
15,1,2,1.5,3,10,-111832.35271576686,4.899060566710368E-8,0.29910000000000364,0.015870970291467126
15,1,2,1.5,3,11,-39025.08811686992,5.713770158830065E-8,0.29910000000000364,0.021490775872532848
15,1,2,1.5,3,12,-87585.82606306393,5.3959275702607926E-8,0.29910000000000364,0.019306253444584504
15,1,4,0.5,1,1,-1.154779234286635,2.4405422842882874E-8,0.09989999999999738,0.044130242364664826
15,1,4,0.5,1,2,-11.843288913151074,2.4465147922142626E-8,0.09989999999999738,0.03920368658650622
15,1,4,0.5,1,3,-75.09762117750627,2.439589974418334E-8,0.09989999999999738,0.03621341258720653
15,1,4,0.5,1,4,-436.04688383302397,2.4348222124074318E-8,0.09989999999999738,0.03465637959472348
15,1,4,0.5,1,5,-264.53271924468936,2.4326754501007426E-8,0.09989999999999738,0.033699812934900014
15,1,4,0.5,1,6,-441.52876423065607,2.4072042342196525E-8,0.09989999999999738,0.027814934609223328
15,1,4,0.5,1,7,-521.5651837896286,2.4324379575036942E-8,0.09989999999999738,0.03376232679258036
15,1,4,0.5,1,8,-565.8831001376384,2.4210579330848484E-8,0.09989999999999738,0.030667678641596773
15,1,4,0.5,1,9,-749.7029524436413,2.431094907193264E-8,0.09989999999999738,0.03350961946813414
15,1,4,0.5,1,10,-118.65241912948477,2.4149123319308673E-8,0.09989999999999738,0.02918889324666196
15,1,4,0.5,1,11,-750.8768369796508,2.4381178723629325E-8,0.09989999999999738,0.035913040639463316
15,1,4,0.5,1,12,-608.6773815421421,2.4279594730135045E-8,0.09989999999999738,0.03263317351460021
15,1,4,0.5,2,1,-2.2948787721444113,4.824189135670258E-8,0.199599999999997,0.07717977024497528
15,1,4,0.5,2,2,-23.62452047688293,4.822651435387723E-8,0.199599999999997,0.06724536538007463
15,1,4,0.5,2,3,-149.84301634740592,4.801515481109992E-8,0.199599999999997,0.061311398038505945
15,1,4,0.5,2,4,-870.0569001079153,4.7878895455897165E-8,0.199599999999997,0.05823061194621459
15,1,4,0.5,2,5,-527.817522423277,4.781925799342855E-8,0.199599999999997,0.056334921596152936
