% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - uniform soil  - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,1.5,1,6,-366943.9448604772,1.5708947838686465E-8,0.0998999999999971,134401.76463591246
15,1,2,1.5,1,7,-29987.714050916555,1.5909969864531266E-8,0.0998999999999971,10897.256798490742
15,1,2,1.5,1,8,-105765.63542792655,1.5810704063976005E-8,0.0998999999999971,38870.007022653175
15,1,2,1.5,1,9,-41288.90598258393,1.5935224658727473E-8,0.0998999999999971,15125.567258160489
15,1,2,1.5,1,10,-56369.20779588071,1.572444294706993E-8,0.0998999999999971,20569.166078079495
15,1,2,1.5,1,11,-19379.975886325632,1.6034475297885946E-8,0.0998999999999971,7062.531316181632
15,1,2,1.5,1,12,-43794.76363982553,1.591396081908935E-8,0.0998999999999971,16127.18483387723
15,1,2,1.5,2,1,-15.6734743326964,3.156623557723096E-8,0.19959999999999675,3.6220466014682593
15,1,2,1.5,2,2,-377.5075792549052,3.165647047365289E-8,0.19959999999999675,106.2254343676466
15,1,2,1.5,2,3,-4054.226390876723,3.160665020772078E-8,0.19959999999999675,1192.7403877099632
15,1,2,1.5,2,4,-32683.618154936157,3.155821377916335E-8,0.19959999999999675,9772.67175442445
15,1,2,1.5,2,5,-33472.10725122826,3.1285357558520836E-8,0.19959999999999675,9782.874145186355
15,1,2,1.5,2,6,-699857.3734093987,3.079164890186217E-8,0.19959999999999675,201737.14898323832
15,1,2,1.5,2,7,-56967.27211121311,3.1388638082744254E-8,0.19959999999999675,16856.361905581623
15,1,2,1.5,2,8,-201217.60197520864,3.109338486165943E-8,0.19959999999999675,59310.85400917376
15,1,2,1.5,2,9,-78376.41499664326,3.146530864499122E-8,0.19959999999999675,23503.099624975246
15,1,2,1.5,2,10,-107484.99704045776,3.083687615245789E-8,0.19959999999999675,30937.099116505833
15,1,2,1.5,2,11,-36741.67595283917,3.1764093654449656E-8,0.19959999999999675,11121.447057986821
15,1,2,1.5,2,12,-83145.5459177675,3.14020271856231E-8,0.19959999999999675,24996.45023226671
15,1,2,1.5,3,1,-22.99792391135067,4.5633944364559836E-8,0.29910000000000364,4.3723844602700295
15,1,2,1.5,3,2,-551.7381984486492,4.583635775764505E-8,0.29910000000000364,131.2307226497352
15,1,2,1.5,3,3,-5921.988751882846,4.574992166832727E-8,0.29910000000000364,1476.0452704685001
15,1,2,1.5,3,4,-47739.77626700583,4.56618983427643E-8,0.29910000000000364,12085.148303257816
15,1,2,1.5,3,5,-49003.989688347305,4.515054715184314E-8,0.29910000000000364,11918.142856746841
15,1,2,1.5,3,6,-1029057.0443430174,4.423729757775785E-8,0.29910000000000364,239006.4528847937
15,1,2,1.5,3,7,-83320.6362125666,4.534434989138666E-8,0.29910000000000364,20662.70983575513
15,1,2,1.5,3,8,-294976.663475692,4.4796465790707565E-8,0.29910000000000364,71613.04140616576
15,1,2,1.5,3,9,-114544.09134949847,4.548910432767098E-8,0.29910000000000364,28949.482385584397
15,1,2,1.5,3,10,-157982.29619294064,4.432003220492322E-8,0.29910000000000364,36741.52136376621
15,1,2,1.5,3,11,-53588.23009012809,4.6048824434762525E-8,0.29910000000000364,13890.757100396466
15,1,2,1.5,3,12,-121560.2090899477,4.537170229996978E-8,0.29910000000000364,30705.279365185084
15,1,4,0.5,1,1,-2.7278899256127103,1.6276487118292842E-8,0.09989999999999738,2.099694774190686
15,1,4,0.5,1,2,-27.098819112843042,1.6258438990837684E-8,0.09989999999999738,20.06342792249223
15,1,4,0.5,1,3,-167.0846817363424,1.624514527298858E-8,0.09989999999999738,120.78658938763527
15,1,4,0.5,1,4,-955.0812512769681,1.6237233693901897E-8,0.09989999999999738,681.0258634235012
15,1,4,0.5,1,5,-574.7938344563171,1.6234400294126778E-8,0.09989999999999738,406.0276067699724
15,1,4,0.5,1,6,-896.2046548565686,1.619279226728733E-8,0.09989999999999738,589.8826836616657
15,1,4,0.5,1,7,-1133.1143099437934,1.6233735013296223E-8,0.09989999999999738,801.0268571363282
15,1,4,0.5,1,8,-1189.344199330344,1.6215679451134113E-8,0.09989999999999738,813.2316124149083
15,1,4,0.5,1,9,-1623.1746432853904,1.6231383556438354E-8,0.09989999999999738,1144.8197479168293
15,1,4,0.5,1,10,-245.24469597318208,1.6206197059207397E-8,0.09989999999999738,164.54777790762142
15,1,4,0.5,1,11,-1663.3898994699127,1.624201510087961E-8,0.09989999999999738,1199.6743031451501
15,1,4,0.5,1,12,-1305.7258752570626,1.6226424708654206E-8,0.09989999999999738,912.8036713955128
15,1,4,0.5,2,1,-4.987413875499321,3.285944824213106E-8,0.199599999999997,3.70414952029657
15,1,4,0.5,2,2,-49.64306054855232,3.280306180543845E-8,0.199599999999997,35.258515492711915
15,1,4,0.5,2,3,-306.4793468234785,3.276184704273585E-8,0.199599999999997,211.75350556872945
15,1,4,0.5,2,4,-1753.1548813481625,3.273735504864684E-8,0.199599999999997,1192.2065149151038
15,1,4,0.5,2,5,-1055.4622670303515,3.272830499035964E-8,0.199599999999997,709.9796743287785
15,1,4,0.5,2,6,-1651.4905673857693,3.2599493351851016E-8,0.199599999999997,1023.040344908554
15,1,4,0.5,2,7,-2080.7188792433335,3.2726364837754557E-8,0.199599999999997,1400.8710436039478
15,1,4,0.5,2,8,-2187.5350774981684,3.267031740313558E-8,0.199599999999997,1416.8371882279362
15,1,4,0.5,2,9,-2981.128659366518,3.271919565530265E-8,0.199599999999997,2001.7148181445339
15,1,4,0.5,2,10,-451.46336240070076,3.26407597182606E-8,0.199599999999997,286.02587569276346
15,1,4,0.5,2,11,-3051.8134781288595,3.27523408415437E-8,0.199599999999997,2102.8852913385404
15,1,4,0.5,2,12,-2399.168295639771,3.270382703093421E-8,0.199599999999997,1594.466412300786
15,1,4,0.5,3,1,-7.064379490825624,4.830216057756806E-8,0.29910000000000436,5.106504066781152
15,1,4,0.5,3,2,-70.42654192660599,4.819368746327007E-8,0.29910000000000436,48.46381607105881
15,1,4,0.5,3,3,-435.2337589618702,4.8114938157053915E-8,0.29910000000000436,290.52213064101795
15,1,4,0.5,3,4,-2491.1163507829083,4.8068204141257993E-8,0.29910000000000436,1633.8711458318276
15,1,4,0.5,3,5,-1500.1483699345763,4.8050469165012326E-8,0.29910000000000436,972.12235941792
15,1,4,0.5,3,6,-2353.995770547567,4.780470259954336E-8,0.29910000000000436,1391.7604841524897
15,1,4,0.5,3,7,-2957.4229055258866,4.804696708346632E-8,0.29910000000000436,1918.3266630673056
15,1,4,0.5,3,8,-3113.3055857891186,4.7939775112844365E-8,0.29910000000000436,1934.443720391888
15,1,4,0.5,3,9,-4237.821566982187,4.803347243344674E-8,0.29910000000000436,2740.701772391654
15,1,4,0.5,3,10,-642.9678681590317,4.7883045891126866E-8,0.29910000000000436,389.8130398044391
15,1,4,0.5,3,11,-4334.716195102505,4.809710767638888E-8,0.29910000000000436,2884.8416167522532
15,1,4,0.5,3,12,-3411.7524850899717,4.800411939810398E-8,0.29910000000000436,2181.4335498702126
15,1,4,1,1,1,-3.053025653385096,1.6179679085673277E-8,0.09989999999999635,2.1146638267352627
15,1,4,1,1,2,-32.13153588733415,1.6155205018797806E-8,0.09989999999999635,21.200720699927565
15,1,4,1,1,3,-207.1705489020507,1.6138127433494978E-8,0.09989999999999635,133.06940604730983
15,1,4,1,1,4,-1216.6030189781536,1.6127996008791447E-8,0.09989999999999635,769.7550241589538
15,1,4,1,1,5,-738.3728269983005,1.6122899894535113E-8,0.09989999999999635,460.57275551109745
15,1,4,1,1,6,-1335.905964512974,1.606644153265868E-8,0.09989999999999635,771.0749808796528
15,1,4,1,1,7,-1459.7357208903816,1.612265463293155E-8,0.09989999999999635,912.8238663549342
15,1,4,1,1,8,-1631.1716134515088,1.6097883740103503E-8,0.09989999999999635,981.3684236639708
15,1,4,1,1,9,-2109.1344670719945,1.612017148369089E-8,0.09989999999999635,1317.5863156867758
15,1,4,1,1,10,-347.836986437786,1.6083654095267618E-8,0.09989999999999635,204.43953349107355
15,1,4,1,1,11,-2086.5985867317872,1.6135010144094103E-8,0.09989999999999635,1340.361310034167
15,1,4,1,1,12,-1725.9012795954447,1.6113595385974515E-8,0.09989999999999635,1067.4530590062998
15,1,4,1,2,1,-5.642825292683817,3.341685829911564E-8,0.199599999999997,3.7382668664287744
